diagnostic,specialty
Otros trastornos de los meniscos,TRAUMATOLOGIA
Luxacion de dedos de la mano,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
"Fractura del antebrazo, parte no especificada",TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Esguinces y torceduras de otras partes y las no especificadas de la rodilla,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Desgarro de meniscos, presente",TRAUMATOLOGIA
Enfermedad de Parkinson,TRAUMATOLOGIA
Espolon calcaneo,TRAUMATOLOGIA
Fractura de la diafisis de la tibia,TRAUMATOLOGIA
Dientes incluidos e impactados,TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
"Dolor, no especificado",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Espondilolistesis,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Epicondilitis media,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
LUMBALGIA Y ESCOLIOSIS,TRAUMATOLOGIA
"Lesión del hombro, no especificada",TRAUMATOLOGIA
"Escoliosis,(dorsopatias deformantes)",TRAUMATOLOGIA
"Coxartrosis, no especificada",TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Inmunodeficiencia combinada severa IDCS con cifra baja o normal de linfocitos b,TRAUMATOLOGIA
"Trastorno interno de la rodilla,(otros trastornos articulares)",TRAUMATOLOGIA
Contusion,TRAUMATOLOGIA
"Tumor maligno de sitios no especificados, (de sitios mal definidos, secundarios y de sitios no especificados)",TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Fractura de region no especificada del cuerpo,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Inestabilidad cronica de la rodilla,TRAUMATOLOGIA
"Otros trastornos de la columna vertebral y del tronco,nivel no especificado",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Contusion de otras partes de la muñeca y de la mano,TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
ARTROSIS CADERA BILATERAL,TRAUMATOLOGIA
Otras deformidades valgus congenitas de los pies,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Lumbago con ciática,TRAUMATOLOGIA
Enfermedad pulmonar obstructiva crónica con infección aguda de las vías respiratorias inferiores,TRAUMATOLOGIA
Luxacion de la rodilla,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Hallux valgus (adquirido),TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Esguinces y torceduras que comprometen los ligamentos laterales (externo) (interno) de la rodilla,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Otras malformaciones congénitas especificadas del (de los) miembro(s),TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Tumor benigno de los huesos largos del miembro inferior,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Tumor de comportamiento incierto o desconocido del hueso y cartilago articular,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Ruptura traumatica de ligamentos del dedo de la mano en la(s) articulacion(es) metacarpofalangica e interfalangica,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Lesiones del hombro,(otros trastornos de los tejidos blandos)",TRAUMATOLOGIA
TENDINITIS CALCIFICANTE,TRAUMATOLOGIA
Otros quistes de la bolsa serosa,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Dolor en articulacion,TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Tumor benigno del omoplato y huesos largos del miembro superior,TRAUMATOLOGIA
"Contusion de dedo(s) de la mano, sin daño de la(s) uña(s)",TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Sindrome cervicobraquial,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
DORSALGIA CERVICALGIA,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Otros quistes oseos,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Fractura a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
ARTROSIS DE LA CADERA,TRAUMATOLOGIA
Fractura de otras partes de la pierna,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Otros trastornos de la sinovia y del tendon,(trastornos de los tendones y de la sinovia)",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Trastorno de menisco debido a desgarro o lesion antigua,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Entesopatia, no especificada",TRAUMATOLOGIA
"Lesion del hombro, no especificada",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Sinovitis y tenosinovitis,(trastornos de los tendones y de la sinovia)",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
"Lordosis, no especificada",TRAUMATOLOGIA
Otras coxartrosis displasicas,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otras deformidades congenitas de la cadera (Displasia de caderas Anteversion del Cuello Femoral Coxa Congenita: Vara o Valga),TRAUMATOLOGIA
Esguinces y torceduras que comprometen los ligamentos laterales (externo) (interno) de la rodilla,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otras lesiones del hombro,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Dientes incluidos,TRAUMATOLOGIA
"Deformidad congénita de la cadera, no especificada",TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
"Alcoholismo, nivel de intoxicacion no especificado",TRAUMATOLOGIA
"Gonartrosis, no especificada",TRAUMATOLOGIA
"Dolor, no especificado",TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
"Luxacion congenita de la cadera, no especificada",TRAUMATOLOGIA
GONALGIA,TRAUMATOLOGIA
"Deformidad congenita de los pies, no especificada",TRAUMATOLOGIA
"Luxacion del codo, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otras artrosis especificadas,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
ARTROSIS RODILLA SEVERA,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Trastornos rotulo femorales,TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
"Osteomielitis, no especificada",TRAUMATOLOGIA
Malformacion congenita de la rodilla,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Fractura del femur, parte no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Luxacion congenita de la cadera, no especificada",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Trastorno de los discos intervertebrales, no especificado",TRAUMATOLOGIA
"Fractura de la pierna, inclusive el tobillo",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
"Fractura del hombro y del brazo, parte no especificada",TRAUMATOLOGIA
Luxacion recidivante de la rotula,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
Otros traumatismos de region no especificada del cuerpo,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otras deformidades varus congénitas de los pies,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
GONARTROSIS,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Espondilosis, no especificada",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
Enfermedad pulmonar obstructiva crónica con infección aguda de las vías respiratorias inferiores,TRAUMATOLOGIA
FRACTURA EXPUESTA DE LA FALANGE DE DEDO DE LA MANO,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
Tendinitis rotuliana,TRAUMATOLOGIA
Otras deformidades congénitas de la cadera (Displasia de caderas Anteversión del Cuello Femoral Coxa Congénita: Vara o Valga),TRAUMATOLOGIA
Asma,TRAUMATOLOGIA
Herida de la muñeca y de la mano,TRAUMATOLOGIA
"Deformidad congénita de la cadera, no especificada",TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Esguinces y torceduras de otras partes y las no especificadas de la rodilla,TRAUMATOLOGIA
Otras deformidades congenitas de la cadera (Displasia de caderas Anteversion del Cuello Femoral Coxa Congenita: Vara o Valga),TRAUMATOLOGIA
"Trastorno del nervio facial, no especificado",TRAUMATOLOGIA
Otros trastornos sinoviales y tendinosos en enfermedades clasificadas en otra parte,TRAUMATOLOGIA
Ruptura traumatica del ligamento lateral del cubito,TRAUMATOLOGIA
"Trastorno interno de la rodilla,(otros trastornos articulares)",TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
Contusion de otras partes y de las no especificadas del pie,TRAUMATOLOGIA
"Poliartrosis, (artrosis)",TRAUMATOLOGIA
EPICONDILITIS EXTERNA,TRAUMATOLOGIA
"Deformidad congenita de la cadera, no especificada",TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
"Fascitis, no clasificada en otra parte",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observación por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Fractura de los huesos de otro(s) dedo(s) del pie,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Otra atencion medica,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otros examenes especiales e investigaciones en personas sin quejas o sin diagnosticos informados,TRAUMATOLOGIA
Dolor en articulacion,TRAUMATOLOGIA
Artrosis secundaria de otras articulaciones,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Gonartrosis, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
SOSPECHA DE MENISCOPATIA,TRAUMATOLOGIA
"Trastorno sinovial y tendinoso, no especificado",TRAUMATOLOGIA
Ruptura espontánea de otros tendones,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
HALLUX VALGUS,TRAUMATOLOGIA
Otras artrosis especificadas,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Cifosis y lordosis,(dorsopatias deformantes)",TRAUMATOLOGIA
Enfermedad cardiaca hipertensiva,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Luxacion de la rodilla,TRAUMATOLOGIA
"Fractura de la pierna, inclusive el tobillo",TRAUMATOLOGIA
Esguinces y torceduras que comprometen los ligamentos laterales (externo) (interno) de la rodilla,TRAUMATOLOGIA
Esguinces y torceduras de la cadera,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Otros trastornos de las uñas,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Angina de pecho,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Disparo de arma corta, en lugar no especificado",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Esguinces y torceduras de dedo(s) de la mano,TRAUMATOLOGIA
Fractura de la epifisis superior del cubito,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
"Luxacion congenita de la cadera, unilateral",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Esguinces y torceduras de dedo(s) de la mano,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Trastorno de dolor persistente somatomorfo,TRAUMATOLOGIA
Otra atencion medica,TRAUMATOLOGIA
"Lesion del hombro, no especificada",TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Luxacion, esguince y desgarro de articulaciones y ligamentos del tobillo y del pie",TRAUMATOLOGIA
Pericoronaritis,TRAUMATOLOGIA
Lumbago con ciática,TRAUMATOLOGIA
Observación por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
"Otros bursopatias,(otros trastornos de los tejidos blandos)",TRAUMATOLOGIA
Esguinces y torceduras que comprometen el ligamento cruzado (anterior) (posterior) de la rodilla,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Poliartrosis, no especificada",TRAUMATOLOGIA
Derrame articular,TRAUMATOLOGIA
Fractura del coccix,TRAUMATOLOGIA
"Luxacion, esguince y desgarro de articulaciones y ligamentos de la rodilla",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Traumatismo de multiples tendones y musculos flexores a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otras deformidades congenitas de la cadera (Displasia de caderas Anteversion del Cuello Femoral Coxa Congenita: Vara o Valga),TRAUMATOLOGIA
Fractura de otras partes y de las no especificadas de la muñeca y de la mano,TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
Fractura de la columna lumbar y de la pelvis,TRAUMATOLOGIA
Otras deformidades del hallux (adquiridas),TRAUMATOLOGIA
Otros traumatismos y los no especificados de la cadera y del muslo,TRAUMATOLOGIA
"Artritis reumatoide, no especificada",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Fractura de la epifisis inferior de la tibia,TRAUMATOLOGIA
Esguinces y torceduras de otras partes y las no especificadas de la rodilla,TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
Fractura de la clavicula,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Fractura de otras partes y de las no especificadas de la muñeca y de la mano,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Trastorno de menisco debido a desgarro o lesion antigua,TRAUMATOLOGIA
"Otras malformaciones congenitas del (de los) miembro(s) inferior(es), incluida la cintura pelviana",TRAUMATOLOGIA
Fractura del maleolo externo,TRAUMATOLOGIA
Pseudocoxalgia,TRAUMATOLOGIA
Sinovitis vellonodular (pigmentada),TRAUMATOLOGIA
GONARTROSIS BILATERAL,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Deformidad en varo, no clasificada en otra parte",TRAUMATOLOGIA
HALLUX VALGUS,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Tendinitis del biceps,TRAUMATOLOGIA
Esguinces y torceduras de la articulacion del hombro,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Otros trastornos internos de la rodilla,TRAUMATOLOGIA
Ruptura espontanea de tendones flexores,TRAUMATOLOGIA
Tendinitis rotuliana,TRAUMATOLOGIA
"Cuerpo extraño que penetra a traves de la piel, (exposicion a fuerzas mecanicas inanimadas)",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
"Trastorno sinovial y tendinoso, no especificado",TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
Dolor en articulacion,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Gonartrosis, no especificada",TRAUMATOLOGIA
Dientes incluidos e impactados,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
Asma,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
DISPLASIA CADERAS BILATERAL,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
Traumatismo de otros tendones y musculos y los no especificados a nivel del muslo,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Fractura de la epífisis inferior de la tibia,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Sinovitis y tenosinovitis, no especificada",TRAUMATOLOGIA
Dolor en miembro,TRAUMATOLOGIA
Dolor en articulación,TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
EPICONDILITIS DE CODO,TRAUMATOLOGIA
Otras lesiones del hombro,TRAUMATOLOGIA
Fractura de la epifisis inferior del cubito y del radio,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Monoartritis, no clasificada en otra parte",TRAUMATOLOGIA
"Dorsalgia, (otras dorsopatias)",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Asma,TRAUMATOLOGIA
Dolor en articulacion,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
"Amputacion traumatica del antebrazo, nivel no especificado",TRAUMATOLOGIA
Otras dorsopatias deformantes de la columna vertebral especificadas,TRAUMATOLOGIA
Otras deformidades congénitas de la cadera (Displasia de caderas Anteversión del Cuello Femoral Coxa Congénita: Vara o Valga),TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
Otros examenes especiales e investigaciones en personas sin quejas o sin diagnosticos informados,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Artritis reumatoide, no especificada",TRAUMATOLOGIA
Dolor en la columna dorsal,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Luxacion, esguince y desgarro de articulaciones y ligamentos de la rodilla",TRAUMATOLOGIA
"Deformidades adquiridas de los dedos del pie, no especificadas",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Tendinitis aquiliana,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Examen de seguimiento consecutivo a tratamiento de fractura,TRAUMATOLOGIA
"Fractura de miembro superior, nivel no especificado",TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Lumbago con ciática,TRAUMATOLOGIA
Herida de otras partes del pie,TRAUMATOLOGIA
Otros quistes de la bolsa serosa,TRAUMATOLOGIA
Mialgia,TRAUMATOLOGIA
Otros quistes de la bolsa serosa,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
"Inflamacion respiratoria superior debida a inhalacion de gases, humos, vapores y sustancias quimicas, no clasificadas en otra parte",TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Otros trastornos especificados de los musculos,TRAUMATOLOGIA
Síndrome del túnel carpiano,TRAUMATOLOGIA
Traumatismo de multiples tendones y musculos flexores a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
BURSITIS,TRAUMATOLOGIA
Otros desplazamientos de disco cervical,TRAUMATOLOGIA
Otras atrofias sistemicas que afectan el sistema nervioso central en enfermedad neoplasica,TRAUMATOLOGIA
"Trastorno interno de la rodilla,(otros trastornos articulares)",TRAUMATOLOGIA
"Otros trastornos de los discos intervertebrales, (otras dorsopatias)",TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
LESION OSTEOCONDRAL FEMORAL,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
"Cifosis y lordosis,(dorsopatias deformantes)",TRAUMATOLOGIA
Deformidad congenita de la columna vertebral,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Fractura de la pierna, inclusive el tobillo",TRAUMATOLOGIA
Otros traumatismos especificados de la muñeca y de la mano,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Amputacion traumatica de otro dedo unico (completa) (parcial),TRAUMATOLOGIA
Esguinces y torceduras que comprometen los ligamentos laterales (externo) (interno) de la rodilla,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
DEDO EN RESORTE CON TENOSINOVITIS DE QUERVAIN,TRAUMATOLOGIA
Esguinces y torceduras de otros sitios y de los no especificados del pie,TRAUMATOLOGIA
"Fracturas multiples de la clavicula, del omoplato y del humero",TRAUMATOLOGIA
Otras escoliosis idiopáticas,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Síndrome de abducción dolorosa del hombro,TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Dientes incluidos e impactados,TRAUMATOLOGIA
GONALGIA,TRAUMATOLOGIA
"Trastornos de disco lumbar y otros, con radiculopatia",TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Observación por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Fractura de la pierna, parte no especificada",TRAUMATOLOGIA
"Luxacion congenita de la cadera, unilateral",TRAUMATOLOGIA
Otras bursitis de la cadera,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Epicondilitis lateral,TRAUMATOLOGIA
Cervicalgia,TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
"Lesiones del hombro,(otros trastornos de los tejidos blandos)",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Fractura de la clavicula,TRAUMATOLOGIA
Otro(s) dedo(s) del pie en martillo (adquiridos),TRAUMATOLOGIA
"Atrofia muscular espinal, sin otra especificacion",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
